Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
1HOPSAT-TD (1st-generation High Optical Performance Satellite),USA,Commercial,Hera Systems,Earth Observation,LEO
AAC AIS-Sat1 (Kelpie 1),United Kingdom,Commercial,AAC Clyde Space,Earth Observation,LEO
Aalto-1 ,Finland,Civil,Aalto University,Technology Development,LEO
AAt-4,Denmark,Civil,University of Aalborg,Earth Observation,LEO
"ABS-2 (Koreasat-8, ST-3)",Multinational,Commercial,Space Systems/Loral,Communications,GEO
ABS-2A,Multinational,Commercial,Boeing Satellite Systems,Communications,GEO
ABS-3A ,Multinational,Commercial,Boeing Satellite Systems,Communications,GEO
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",Multinational,Commercial,Space Systems/Loral,Communications,GEO
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",Multinational,Commercial,Lockheed Martin,Communications,GEO
Adelis-Sampson 1,Israel,Government,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Technology Development,LEO
Adelis-Sampson 2,Israel,Government,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Technology Development,LEO
Adelis-Sampson 3,Israel,Government,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Technology Development,LEO
ADLER-2,Austria,Civil,Spire Global,Earth Science,LEO
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA,Military,TRW Space and Electronics,Earth Observation,GEO
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA,Military,TRW Space and Electronics,Earth Observation,GEO
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA,Military,National Reconnaissance Laboratory (?),Earth Observation,GEO
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",USA,Military,Lockheed Martin Space Systems,Communications,GEO
Aeneas,USA,Government,University of Southern California,Technology Development,LEO
Aeolus,ESA,Government,Airbus Defense and Space,Earth Observation,LEO
Aerocube 11A (TOMSat Eagle Scout),USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 11B (TOMSat R3),USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 12A,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 12B,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 14A,USA,Military,Aerospace Corporation,Technology Development,LEO
Aerocube 14B,USA,Military,Aerospace Corporation,Technology Development,LEO
Aerocube 15A,USA,Military,Aerospace Corporation,Technology Development,LEO
Aerocube 5C,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 6A,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 6B,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 7A,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 8C,USA,Commercial,Aerospace Corporation,Technology Development,LEO
Aerocube 8D,USA,Commercial,Aerospace Corporation,Technology Development,LEO
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Multinational,Commercial,EADS Astrium,Communications,GEO
AII-Bravo,Lithuania,Commercial,NanoAvionics,Communications,LEO
AII-Charlie,Lithuania,Commercial,NanoAvionics,Communications,LEO
AIM (Aeronomy of Ice in Mesosphere),USA,Government,Orbital Sciences Corp.,Earth Observation,LEO
AISSat-1 (Automatic Identification System Satellite-1),Norway,Government,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Communications,LEO
AISSat-2 (Automatic Identification System Satellite-2),Norway,Government,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Communications,LEO
AISTechSat-2,Spain,Commercial,GomSpace ApS,Earth Observation,LEO
AISTechSat-3,Spain,Commercial,GomSpace ApS,Earth Observation,LEO
Al Yah-3,United Arab Emirates,Commercial,Orbital ATK,Communications,GEO
Al-Farabi-2,Kazakhstan,Civil,Al-Farabi Kazakh National University,Technology Development,LEO
Alcomsat (Algerian Communications Satellite),Algeria,Government,China Academy of Space Technology (CAST),Communications,GEO
ALE-2 (Astro Live Experiences-2),Japan,Commercial,Astro Live Experiences,Earth Science,LEO
Alfa Crux,Brazil,Civil,University of Brasilia,Technology Development,LEO
ALiCE  (AFIT LEO iMESA CNT E),USA,Military,US Air Force Institute of Technology,Technology Development,LEO
Alsat-1B,Algeria,Government,Surrey Satellite Technology Ltd.,Earth Observation,LEO
Alsat-1N,Algeria,Government,Surrey Satellite Technology Ltd.,Technology Development,LEO
Alsat-2A (Algeria Satellite 2A),Algeria,Government,EADS Astrium,Earth Observation,LEO
Alsat-2B,Algeria,Government,Airbus Defense and Space,Earth Observation,LEO
Amazonas-2,Spain,Commercial,EADS Astrium,Communications,GEO
Amazonas-3,Spain,Commercial,Space Systems/Loral,Communications,GEO
Amazonas-4A,Spain,Commercial,Orbital Sciences Corp.,Communications,GEO
Amazonas-5,Spain,Commercial,Space Systems/Loral,Communications,GEO
Amazonas-Nexus,Spain,Commercial,Thales Alenia Space,Communications,GEO
Amazonia-1 (SSR-1),Brazil,Government,National Institute for Space Research (INPE),Earth Observation,LEO
"AMC-11 (Americom-11, GE 11)",USA,Commercial,Lockheed Martin,Communications,GEO
AMC-15 (Americom-15),USA,Commercial,Lockheed Martin,Communications,GEO
AMC-18 (Americom 18),USA,Commercial,Lockheed Martin Missiles & Space,Communications,GEO
AMC-21 (Americom 21),USA,Commercial,Orbital Sciences Corp.,Communications,GEO
"AMC-6 (Americom-6, GE-6)",USA,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
AmGU-1 (AmurSat-1),Russia,Civil,Moscow State University,Space Science,LEO
Amos 17,Israel,Military/Commercial,Boeing Satellite Systems,Communications,GEO
Amos 3,Israel,Military/Commercial,Israel Aircraft Industries (IAI),Communications,GEO
Amos 4,Israel,Military/Commercial,Israel Aircraft Industries (IAI),Communications,GEO
Amsat-Oscar 7 (AO-7),USA,Civil,Amsat-NA,Communications,LEO
"ANASIS-II (Army, Navy Air Force Satellite Information System 2, KMilSatCom 1)",South Korea,Military,Airbus Defense and Space,Communications,GEO
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),USA,Civil,Boston University,Space Science/Technology Demonstration,LEO
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ESA,Government,CNES ,Communications,LEO
Angosat-2,Angola,Government,ISS Reshetnev,Communications,LEO
Anik F1 ,Canada,Commercial,Boeing Satellite Systems,Communications,GEO
Anik F1R,Canada,Commercial,EADS Astrium,Communications,GEO
Anik F2 ,Canada,Commercial,Boeing Satellite Systems,Communications,GEO
Anik F3,Canada,Commercial,EADS Astrium,Communications,GEO
Anik G1,Canada,Commercial,Space Systems/Loral,Communications,GEO
AprizeSat 1 (LatinSat-C),Argentina,Commercial,Aprize Satellite ,Communications/Technology Development,LEO
AprizeSat 10 (exactView-13),USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 2 (LatinSat-D),USA/Argentina,Commercial,Aprize Satellite ,Communications/Technology Development,LEO
AprizeSat 3 ,USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 4 ,USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 5,Canada,Commercial,SpaceQuest,Communications,LEO
AprizeSat 7,Canada,Commercial,SpaceQuest,Communications,LEO
AprizeSat 8 (exactView-12),USA/Argentina,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
AprizeSat 9 (exactView-11),USA,Commercial,SpaceQuest,Communications/Maritime Tracking,LEO
Apstar 6C,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Apstar 6D,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Apstar 6E,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Apstar 7,China,Commercial,Thales Alenia Space,Communications,GEO
Apstar 9,China,Commercial,China Academy of Space Technology (CAST),Communications,GEO
Arabsat 5C,Multinational,Government,Astrium/Thales Alenia Space,Communications,GEO
Arabsat 6A,Multinational,Commercial,Lockheed Martin,Communications,GEO
ARCE 1A (Articulated Reconnaissance and Communications Expedition-1),USA,Civil,"South Florida University, Institute of Applied Engineering (IAE)",Technology Development,LEO
ARCE 1B (Articulated Reconnaissance and Communications Expedition-1),USA,Civil,"South Florida University, Institute of Applied Engineering (IAE)",Technology Development,LEO
ARCE 1C (Articulated Reconnaissance and Communications Expedition-1),USA,Civil,"South Florida University, Institute of Applied Engineering (IAE)",Technology Development,LEO
ARCSAT ,Norway,Military,Norwegian Defence Research Establishment,Technology Demonstration,LEO
ARICA,Japan,Civil,Aoyama Gakuin University in Tokyo,Technology Development,LEO
Arktika-M1,Russia,Government,NPO Lavochkin,Earth Observation,Elliptical
Arkyd-6A,USA,Commercial,Planetary Resources,Technology Development,LEO
ArSat 1,Argentina,Commercial,INVAP S.E.,Communications,GEO
ArSat 2,Argentina,Commercial,INVAP S.E.,Communications,GEO
Arthur,Belgium,Commercial,Astrospacelab,Earth Observation,LEO
ASELSAT,Turkey,Civil,Istanbul Technical University,Earth Observation,LEO
AsiaSat-5,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-6 (Thaicom-7),China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-7,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-8,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaSat-9,China,Commercial,Space Systems/Loral,Communications,GEO
AsiaStar ,USA,Commercial,Alcatel Space Industries,Communications,GEO
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Government,NEC Corporation,Earth Observation,LEO
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Japan,Government,NEC Corporation,Earth Observation,LEO
ASTERISC (Asutarisuku),Japan,Civil,Chiba Institute of Technology,Technology Development,LEO
Astra 1G ,Luxembourg,Commercial,Hughes Space and Communications Co.,Communications,GEO
Astra 1KR,Luxembourg,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
Astra 1L,Luxembourg,Commercial,Lockheed Martin Commercial Space Systems,Communications,GEO
Astra 1M,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 1N,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 2A ,Luxembourg,Commercial,Hughes Space and Communications Co.,Communications,GEO
Astra 2C ,Luxembourg,Commercial,Boeing Satellite Systems,Communications,GEO
Astra 2D,Luxembourg,Commercial,Hughes Space and Communications Co.,Communications,GEO
Astra 2E (Eutelsat 28E),Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 2F (Eutelsat 28F),Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 2G (Eutelsat 28G),Luxembourg,Commercial,Airbus Defense and Space,Communications,GEO
Astra 3A ,Luxembourg,Commercial,Boeing Satellite Systems,Communications,GEO
Astra 3B,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astra 5B,Luxembourg,Commercial,EADS Astrium,Communications,GEO
Astranis Demosat-2,USA,Commercial,Astranis,Technology Development,LEO
Astrocast-0101,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0102 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0103 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0104 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0105 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0201 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0202   ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0203,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0204 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrocast-0205 ,Switzerland,Commercial,Astrocast,Communications,LEO
Astrosat,India,Government,Indian Space Research Organization (ISRO),Space Science,LEO
AT&T T16,USA,Commercial,Airbus Defense and Space,Communications,GEO
Athena,USA,Commercial,Maxar Technologies,Communications,LEO
